07-Sep-2023 21:15:00 - num of feature = 2308
07-Sep-2023 21:17:24 - iter: 25/70 time: 0.573s fit: 0.044516
07-Sep-2023 21:17:25 - iter: 26/70 time: 0.553s fit: 0.041884
07-Sep-2023 21:17:25 - iter: 27/70 time: 0.552s fit: 0.039357
07-Sep-2023 21:17:26 - iter: 28/70 time: 0.562s fit: 0.039798
07-Sep-2023 21:17:26 - iter: 29/70 time: 0.557s fit: 0.040452
07-Sep-2023 21:17:27 - iter: 30/70 time: 0.561s fit: 0.041203
07-Sep-2023 21:17:28 - iter: 31/70 time: 0.562s fit: 0.037601
07-Sep-2023 21:17:28 - iter: 32/70 time: 0.558s fit: 0.039824
07-Sep-2023 21:17:29 - iter: 33/70 time: 0.56s fit: 0.038537
07-Sep-2023 21:17:29 - iter: 34/70 time: 0.571s fit: 0.038186
07-Sep-2023 21:17:30 - iter: 35/70 time: 0.568s fit: 0.037791
07-Sep-2023 21:17:30 - iter: 36/70 time: 0.559s fit: 0.037201
07-Sep-2023 21:17:31 - iter: 37/70 time: 0.557s fit: 0.037232
07-Sep-2023 21:17:31 - iter: 38/70 time: 0.556s fit: 0.03715
07-Sep-2023 21:17:32 - iter: 39/70 time: 0.553s fit: 0.037318
07-Sep-2023 21:17:33 - iter: 40/70 time: 0.563s fit: 0.03505
07-Sep-2023 21:17:33 - iter: 41/70 time: 0.56s fit: 0.035743
07-Sep-2023 21:17:34 - iter: 42/70 time: 0.578s fit: 0.035943
07-Sep-2023 21:17:34 - iter: 43/70 time: 0.566s fit: 0.037845
07-Sep-2023 21:17:35 - iter: 44/70 time: 0.558s fit: 0.034982
07-Sep-2023 21:17:35 - iter: 45/70 time: 0.56s fit: 0.035479
07-Sep-2023 21:17:36 - iter: 46/70 time: 0.565s fit: 0.034607
07-Sep-2023 21:17:37 - iter: 47/70 time: 0.562s fit: 0.03241
07-Sep-2023 21:17:37 - iter: 48/70 time: 0.557s fit: 0.03352
07-Sep-2023 21:17:38 - iter: 49/70 time: 0.551s fit: 0.032777
07-Sep-2023 21:17:38 - iter: 50/70 time: 0.556s fit: 0.034043
07-Sep-2023 21:17:39 - iter: 51/70 time: 0.57s fit: 0.034425
07-Sep-2023 21:17:39 - iter: 52/70 time: 0.558s fit: 0.034025
07-Sep-2023 21:17:40 - iter: 53/70 time: 0.559s fit: 0.035193
07-Sep-2023 21:17:40 - iter: 54/70 time: 0.558s fit: 0.033083
07-Sep-2023 21:17:41 - iter: 55/70 time: 0.568s fit: 0.031948
07-Sep-2023 21:17:42 - iter: 56/70 time: 0.574s fit: 0.032419
07-Sep-2023 21:17:42 - iter: 57/70 time: 0.631s fit: 0.030528
07-Sep-2023 21:17:43 - iter: 58/70 time: 0.579s fit: 0.033605
07-Sep-2023 21:17:43 - iter: 59/70 time: 0.569s fit: 0.033361
07-Sep-2023 21:17:44 - iter: 60/70 time: 0.579s fit: 0.032435
07-Sep-2023 21:17:44 - iter: 61/70 time: 0.573s fit: 0.031814
07-Sep-2023 21:17:45 - iter: 62/70 time: 0.568s fit: 0.031332
07-Sep-2023 21:17:46 - iter: 63/70 time: 0.57s fit: 0.029984
07-Sep-2023 21:17:46 - iter: 64/70 time: 0.563s fit: 0.028307
07-Sep-2023 21:17:47 - iter: 65/70 time: 0.559s fit: 0.029642
07-Sep-2023 21:17:47 - iter: 66/70 time: 0.557s fit: 0.031966
07-Sep-2023 21:17:48 - iter: 67/70 time: 0.581s fit: 0.033844
07-Sep-2023 21:17:48 - iter: 68/70 time: 0.561s fit: 0.035898
07-Sep-2023 21:17:49 - iter: 69/70 time: 0.585s fit: 0.032961
07-Sep-2023 21:17:50 - iter: 70/70 time: 0.57s fit: 0.032851
07-Sep-2023 21:17:51 - round1/1 fold4/10 - time:42.154s train_acc:1 test_acc:1 size:40
07-Sep-2023 21:17:53 - iter: 1/70 time: 0.749s fit: 0.10039
07-Sep-2023 21:17:54 - iter: 2/70 time: 0.744s fit: 0.091277
07-Sep-2023 21:17:54 - iter: 3/70 time: 0.685s fit: 0.085213
07-Sep-2023 21:17:55 - iter: 4/70 time: 0.586s fit: 0.076191
07-Sep-2023 21:17:56 - iter: 5/70 time: 0.575s fit: 0.069606
07-Sep-2023 21:17:56 - iter: 6/70 time: 0.566s fit: 0.058669
07-Sep-2023 21:17:57 - iter: 7/70 time: 0.576s fit: 0.055783
07-Sep-2023 21:17:57 - iter: 8/70 time: 0.584s fit: 0.049359
07-Sep-2023 21:17:58 - iter: 9/70 time: 0.576s fit: 0.046526
07-Sep-2023 21:17:58 - iter: 10/70 time: 0.575s fit: 0.041516
07-Sep-2023 21:17:59 - iter: 11/70 time: 0.591s fit: 0.043222
07-Sep-2023 21:18:00 - iter: 12/70 time: 0.568s fit: 0.041724
07-Sep-2023 21:18:00 - iter: 13/70 time: 0.568s fit: 0.04019
07-Sep-2023 21:18:01 - iter: 14/70 time: 0.566s fit: 0.03851
07-Sep-2023 21:18:01 - iter: 15/70 time: 0.581s fit: 0.036148
07-Sep-2023 21:18:02 - iter: 16/70 time: 0.569s fit: 0.034178
07-Sep-2023 21:18:02 - iter: 17/70 time: 0.569s fit: 0.036321
07-Sep-2023 21:18:03 - iter: 18/70 time: 0.561s fit: 0.033681
07-Sep-2023 21:18:04 - iter: 19/70 time: 0.552s fit: 0.031523
07-Sep-2023 21:18:04 - iter: 20/70 time: 0.572s fit: 0.031035
07-Sep-2023 21:18:05 - iter: 21/70 time: 0.56s fit: 0.032589
07-Sep-2023 21:18:05 - iter: 22/70 time: 0.555s fit: 0.031533
07-Sep-2023 21:18:06 - iter: 23/70 time: 0.563s fit: 0.029603
07-Sep-2023 21:18:06 - iter: 24/70 time: 0.551s fit: 0.027898
07-Sep-2023 21:18:07 - iter: 25/70 time: 0.554s fit: 0.028761
07-Sep-2023 21:18:07 - iter: 26/70 time: 0.56s fit: 0.027709
07-Sep-2023 21:18:08 - iter: 27/70 time: 0.568s fit: 0.029434
07-Sep-2023 21:18:09 - iter: 28/70 time: 0.557s fit: 0.027665
07-Sep-2023 21:18:09 - iter: 29/70 time: 0.573s fit: 0.028153
07-Sep-2023 21:18:10 - iter: 30/70 time: 0.551s fit: 0.025251
07-Sep-2023 21:18:10 - iter: 31/70 time: 0.558s fit: 0.024363
07-Sep-2023 21:18:11 - iter: 32/70 time: 0.572s fit: 0.022488
07-Sep-2023 21:18:11 - iter: 33/70 time: 0.562s fit: 0.020842
07-Sep-2023 21:18:12 - iter: 34/70 time: 0.563s fit: 0.022199
07-Sep-2023 21:18:13 - iter: 35/70 time: 0.561s fit: 0.024352
07-Sep-2023 21:18:13 - iter: 36/70 time: 0.558s fit: 0.022068
07-Sep-2023 21:18:14 - iter: 37/70 time: 0.559s fit: 0.021331
07-Sep-2023 21:18:14 - iter: 38/70 time: 0.586s fit: 0.020747
07-Sep-2023 21:18:15 - iter: 39/70 time: 0.563s fit: 0.019301
07-Sep-2023 21:18:15 - iter: 40/70 time: 0.574s fit: 0.019287
07-Sep-2023 21:18:16 - iter: 41/70 time: 0.566s fit: 0.020182
07-Sep-2023 21:18:16 - iter: 42/70 time: 0.557s fit: 0.019
07-Sep-2023 21:18:17 - iter: 43/70 time: 0.56s fit: 0.01835
07-Sep-2023 21:18:18 - iter: 44/70 time: 0.565s fit: 0.017188
07-Sep-2023 21:18:18 - iter: 45/70 time: 0.567s fit: 0.0177
07-Sep-2023 21:18:19 - iter: 46/70 time: 0.573s fit: 0.019215
07-Sep-2023 21:18:19 - iter: 47/70 time: 0.562s fit: 0.01957
07-Sep-2023 21:18:20 - iter: 48/70 time: 0.575s fit: 0.019616
